,link,source,lean
84,https://apnews.com/article/health-environment-seattle-coronavirus-pandemic-35ce1292dc7f7a3e94cecd5dd59c1bd6,AP,Centrist
85,https://apnews.com/article/environment-maine-847342d3a112b97ae9c5c210205cfa38,AP,Centrist
86,https://apnews.com/article/joe-biden-politics-biden-cabinet-lisa-jackson-environment-dcd5bf54b192e17504ef07ef50393a4b,AP,Centrist
87,https://apnews.com/article/oceans-environment-ocean-acidification-massachusetts-pollution-e5ec407912821c00ebb92e3536b39797,AP,Centrist
88,https://apnews.com/article/legislation-hawaii-environment-honolulu-bills-a67203301227b94c11890a0e3cb27515,AP,Centrist
89,https://apnews.com/article/new-york-environment-border-patrols-canada-vermont-bdecb284c15e8a0d64e0cff0649f23bb,AP,Centrist
90,https://apnews.com/article/environment-washington-hazardous-waste-c4494ec30538b1886c265818734467ce,AP,Centrist
91,https://www.nytimes.com/2021/02/22/climate/deb-haaland-interior.html,NYT,Towards Left
92,https://www.nytimes.com/2021/02/23/climate/john-kerry-united-nations.html,NYT,Towards Left
93,https://www.nytimes.com/2021/02/22/climate/arctic-refuge-seismic-survey.html,NYT,Towards Left
94,https://www.nytimes.com/2021/02/20/climate/united-states-infrastructure-storms.html,NYT,Towards Left
95,https://www.nytimes.com/2021/02/09/climate/catalytic-converter-theft.html,NYT,Towards Left
96,https://www.nytimes.com/2021/02/22/business/energy-environment/corporations-climate-change.html,NYT,Towards Left
97,https://www.nytimes.com/2021/02/22/climate/flood-insurance-fema.html,NYT,Towards Left
98,https://www.nytimes.com/2021/02/21/us/winter-storm-west-coast.html,NYT,Towards Left
99,https://www.nytimes.com/2021/02/19/climate/wood-banks-winter-maine.html,NYT,Towards Left
100,https://www.nytimes.com/2021/02/19/books/imbolo-mbue-how-beautiful-we-were.html,NYT,Towards Left
101,https://www.nytimes.com/2021/02/18/science/laschamp-earth-magnetic-climate.html,NYT,Towards Left
102,https://www.nytimes.com/2021/02/18/business/energy-environment/california-texas-blackouts-utilities.html,NYT,Towards Left
103,https://www.nytimes.com/2021/02/18/business/economy/federal-reserve-climate-change-banks.html,NYT,Towards Left
104,https://www.nytimes.com/2021/02/18/science/black-footed-ferret-clone.html,NYT,Towards Left
105,https://www.nytimes.com/2021/02/17/climate/texas-blackouts-disinformation.html,NYT,Towards Left
106,https://www.nytimes.com/2021/02/17/climate/storms-power-outage-newsletter.html,NYT,Towards Left
107,https://www.nytimes.com/2021/02/17/business/dealbook/citigroup-900-million.html,NYT,Towards Left
